RN;SAT;Regiío;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondula?ío (N) Conexío *;Ondula?ío (N) MAPGEO2015 **;Discrepüncias dif.Conexío_X_MAPGEO2015;Link do SAT no Banco de Dados
1190A;91327;CENTRO-OESTE;DISTRITO FEDERAL;-15,9788127;-47,8195672;1059,4979;1046,867;-12,63;-12,57;-0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91327
1190C;91329;CENTRO-OESTE;DISTRITO FEDERAL;-16,0197671;-47,8008205;882,4898;869,761;-12,73;-12,59;-0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91329
2194B;91319;CENTRO-OESTE;DISTRITO FEDERAL;-15,5633432;-47,6591913;1015,9372;1002,807;-13,13;-12,98;-0,15;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91319
2194D;91320;CENTRO-OESTE;DISTRITO FEDERAL;-15,5304971;-47,625435;1037,8666;1024,758;-13,11;-13,08;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91320
2223M;91332;CENTRO-OESTE;DISTRITO FEDERAL;-15,9377468;-47,8075113;1041,0164;1028,741;-12,28;-12,58;0,3;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91332
2223S;91326;CENTRO-OESTE;DISTRITO FEDERAL;-15,9479968;-47,7123234;1012,9521;1000,167;-12,79;-12,77;-0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91326
2223X;91316;CENTRO-OESTE;DISTRITO FEDERAL;-15,9603608;-47,6369519;963,8676;951,03;-12,84;-12,73;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91316
2224E;91318;CENTRO-OESTE;DISTRITO FEDERAL;-16,0246319;-47,5457596;1038,453;1025,616;-12,84;-12,79;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91318
2226G;91321;CENTRO-OESTE;DISTRITO FEDERAL;-15,8507793;-47,6240649;1048,3217;1035,494;-12,83;-12,76;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91321
2226N;91322;CENTRO-OESTE;DISTRITO FEDERAL;-15,7339082;-47,6616107;923,6838;910,795;-12,89;-12,79;-0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91322
2227C;91323;CENTRO-OESTE;DISTRITO FEDERAL;-16,0374104;-47,4139167;872,0277;859,058;-12,97;-12,84;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91323
2227P;91324;CENTRO-OESTE;DISTRITO FEDERAL;-15,7900531;-47,3805571;940,7088;927,563;-13,15;-12,99;-0,16;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91324
2227Z;91325;CENTRO-OESTE;DISTRITO FEDERAL;-15,6289667;-47,3566289;918,8448;905,579;-13,27;-13,19;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91325
2263R;91330;CENTRO-OESTE;DISTRITO FEDERAL;-15,6938435;-48,216955;1076,3926;1064,109;-12,28;-12,27;-0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91330
2264G;91328;CENTRO-OESTE;DISTRITO FEDERAL;-15,556042;-48,1959684;940,2857;927,434;-12,85;-12,82;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91328
2369V;91200;CENTRO-OESTE;DISTRITO FEDERAL;-15,9474753;-47,877869;1118,4798;1106,018;-12,46;-12,46;0;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91200
2378G;91166;CENTRO-OESTE;DISTRITO FEDERAL;-15,9478;-47,8769802;1113,6086;1101,08;-12,53;-12,46;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91166
2378H;91167;CENTRO-OESTE;DISTRITO FEDERAL;-15,9467634;-47,8786248;1108,2206;1095,701;-12,52;-12,45;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91167
2378J;91168;CENTRO-OESTE;DISTRITO FEDERAL;-15,9486497;-47,8781856;1115,7642;1103,236;-12,53;-12,45;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91168
2378L;91127;CENTRO-OESTE;DISTRITO FEDERAL;-15,9461897;-47,8842643;1102,4729;1090,005;-12,47;-12,44;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91127
9305U;91315;CENTRO-OESTE;DISTRITO FEDERAL;-15,7813644;-47,7906928;1072,5604;1059,904;-12,66;-12,59;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91315
9501V;96123;CENTRO-OESTE;DISTRITO FEDERAL;-15,9274337;-47,8337306;1168,3814;1155,874;-12,51;-12,53;0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96123
1236J;92840;CENTRO-OESTE;GOIÊÅS;-18,7697159;-51,3481388;481,3955;474,547;-6,85;-6,9;0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92840
1256H;91309;CENTRO-OESTE;GOIÊÅS;-15,8515438;-50,0923884;665,713;657,969;-7,74;-7,6;-0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91309
